tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,
1082,2018-03-01 15:26:34,2018-03-01 15:44:37,160,Wentworth Institute of Technology - Huntington Ave at Vancouver St,42.33758601097239,-71.09627097845076,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,850,Subscriber,1986,1,
1019,2018-03-01 15:27:29,2018-03-01 15:44:29,138,Newmarket Square T Stop - Massachusetts Ave at Newmarket Square,42.326599,-71.066498,46,Christian Science Plaza - Massachusetts Ave at Westland Ave,42.3436658245146,-71.08582377433777,1830,Subscriber,1962,2,
1244,2018-03-01 15:28:45,2018-03-01 15:49:29,78,Union Square - Somerville,42.37980717512428,-71.09387040138245,100,Davis Square,42.396969,-71.123024,1530,Subscriber,1990,2,
270,2018-03-01 15:29:12,2018-03-01 15:33:42,36,Copley Square - Dartmouth St at Boylston St,42.34976701008725,-71.07732653617859,46,Christian Science Plaza - Massachusetts Ave at Westland Ave,42.3436658245146,-71.08582377433777,190,Subscriber,1993,1,
437,2018-03-01 15:30:03,2018-03-01 15:37:21,125,Hyde Square - Barbara St at Centre St,42.32176525723952,-71.10984160567114,124,Curtis Hall - South St at Centre St,42.309054,-71.11543,40,Subscriber,1951,1,
1679,2018-03-01 15:30:39,2018-03-01 15:58:39,197,MLK Blvd at Washington St,42.32143814183195,-71.09126061201096,189,Kendall T,42.362427842912396,-71.08495473861694,876,Subscriber,1985,1,
1619,2018-03-01 15:30:58,2018-03-01 15:57:57,142,Alewife Station at Russell Field,42.396105,-71.139459,142,Alewife Station at Russell Field,42.396105,-71.139459,1013,Subscriber,1955,1,
280,2018-03-01 15:31:07,2018-03-01 15:35:48,178,MIT Pacific St at Purrington St,42.35957320109044,-71.10129475593567,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,580,Subscriber,1993,1,
430,2018-03-01 15:31:08,2018-03-01 15:38:18,178,MIT Pacific St at Purrington St,42.35957320109044,-71.10129475593567,107,Ames St at Main St,42.3625,-71.08822,1727,Subscriber,1987,2,
475,2018-03-01 15:31:24,2018-03-01 15:39:20,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,15,Subscriber,1989,1,
313,2018-03-01 15:31:25,2018-03-01 15:36:38,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,20,Aquarium T Stop - 200 Atlantic Ave,42.35991176110118,-71.0514298081398,507,Subscriber,1978,1,
3343,2018-03-01 15:31:43,2018-03-01 16:27:26,90,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,90,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,1285,Subscriber,1966,1,
332,2018-03-01 15:32:42,2018-03-01 15:38:15,39,Washington St at Rutland St,42.338514601785995,-71.07404083013535,21,Prudential Center - Belvedere St,42.34652003998412,-71.08065776545118,1966,Subscriber,1988,1,
390,2018-03-01 15:32:45,2018-03-01 15:39:16,59,Chinatown Gate Plaza,42.351356,-71.059367,59,Chinatown Gate Plaza,42.351356,-71.059367,1655,Subscriber,1999,2,
1246,2018-03-01 15:33:06,2018-03-01 15:53:53,108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,1218,Subscriber,1991,1,
1279,2018-03-01 15:33:12,2018-03-01 15:54:31,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,56,Dudley Square - Dudley St at Warren St,42.32854046293402,-71.08416482806204,1005,Subscriber,1981,2,
669,2018-03-01 15:33:15,2018-03-01 15:44:24,160,Wentworth Institute of Technology - Huntington Ave at Vancouver St,42.33758601097239,-71.09627097845076,69,Coolidge Corner - Beacon St @ Centre St,42.341598,-71.123338,537,Subscriber,1981,1,
